1;"casa dei bambini";Kindertagesstätte;Kindergärten NordOst;Grabensprung 51;12683 Berlin (Marzahn-Hellersdorf);52.5053876;13.5528564;03052678441;kindergarten.grabensprung@kigaeno.de;;6.0;18.0;12.0;06:00-18:00;0;deutsch
2;"Erlebniswelt";Kindertagesstätte;Kindergärten NordOst;Sewanstr. 197 -199;10319 Berlin (Lichtenberg);52.49747;13.51174;0305123176;kindergarten.sewanstrasse@kigaeno.de;;6.0;18.0;12.0;06:00-18:00;0;deutsch
3;"Mosaik";Kindertagesstätte;LebensWelt Kindertagesstätte Neukölln gGmbH;Donaustr. 88;12043 Berlin (Neukölln);52.4794894;13.4406379;0305682 6290;lebenswelt@lebenswelt-berlin.org;www.lebenswelt-berlin.org;6.0;17.0;11.0;06:00-17:00;6;arabisch, englisch, polnisch, türkisch
4;"Naseweis";Kindertagesstätte;Kindergärten NordOst;Waldheimer Str. 18 -20;12627 Berlin (Marzahn-Hellersdorf);52.5282358;13.6180662;0309941273;kindergarten.waldheimer-strasse@kigaeno.de;;6.0;18.0;12.0;06:00-18:00;0;deutsch
5;"Schwalbennest";Kindertagesstätte;Kindergärten NordOst;Jan-Petersen-Str. 27;12679 Berlin (Marzahn-Hellersdorf);52.54892;13.56246;030930 98 00;kindergarten.jan-petersen-strasse@kigaeno.de;;6.0;18.0;12.0;06:00-18:00;0;deutsch
6;"Sonnengarten";Kindertagesstätte;Kindergärten NordOst;Rudolf-Reusch-Str. 57;10367 Berlin (Lichtenberg);52.5183049;13.4827176;0305593141;kindergarten.rudolf-reusch-strasse@kigaeno.de;;6.0;18.0;12.0;06:00-18:00;12;deutsch
7;"Spatzennest";Kindertagesstätte;Kindergärten NordOst;Paul-Junius-Str. 32;10369 Berlin (Lichtenberg);52.5252217;13.4746268;0309724008;kindergarten.paul-junius-strasse@kigaeno.de;;6.0;18.0;12.0;06:00-18:00;0;deutsch
8;"Villa Seegarten";Kindertagesstätte;Kindergärten NordOst;Große Seestr. 5;13086 Berlin (Pankow);52.5567;13.46485;0309253371;kindergarten.grosse-seestrasse@kigaeno.de;;6.5;17.5;11.0;06:30-17:30;0;deutsch
9;"Waldkindergarten Pankow e.V. - Die Waldläufer";Kindertagesstätte;Waldkindergarten Pankow e.V.;Schildower Str. 20;13159 Berlin (Pankow);52.62904;13.38272;01636134758;info@waldkindergarten-berlin.de;;;;;;14;deutsch
10;2. Kita Pretty World;Kindertagesstätte;Pretty World gGmbH;Elsenstr. 102A;12435 Berlin (Treptow-Köpenick);52.4894012;13.4548858;030;;;;;;;0;deutsch
